Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,-1.0,0.0,-1.0,-1.0,-1.5,-2.5,0.0,-1.0,3.0
LG,1.0,0.0,1.0,0.0,0.0,-0.5,-1.5,1.0,0.0,4.0
NC,0.0,-1.0,0.0,-1.0,-1.0,-1.5,-2.5,0.0,-1.0,3.0
SK,1.0,0.0,1.0,0.0,0.0,-0.5,-1.5,1.0,0.0,4.0
kt,1.0,0.0,1.0,0.0,0.0,-0.5,-1.5,1.0,0.0,4.0
넥센,1.5,0.5,1.5,0.5,0.5,0.0,-1.0,1.5,0.5,4.5
두산,2.5,1.5,2.5,1.5,1.5,1.0,0.0,2.5,1.5,5.5
롯데,0.0,-1.0,0.0,-1.0,-1.0,-1.5,-2.5,0.0,-1.0,3.0
삼성,1.0,0.0,1.0,0.0,0.0,-0.5,-1.5,1.0,0.0,4.0
한화,-3.0,-4.0,-3.0,-4.0,-4.0,-4.5,-5.5,-3.0,-4.0,0.0
